sangre_ppm_di,sangre_ppm_dd,sangre_ppm_ti,sangre_ppm_td,conductividad_ms_cm_di,conductividad_ms_cm_dd,conductividad_ms_cm_ti,conductividad_ms_cm_td,media_de_los_flujos_kg_min_di,media_de_los_flujos_kg_min_dd,media_de_los_flujos_kg_min_ti,media_de_los_flujos_kg_min_td,flujos_maximos_kg_min_di,flujos_maximos_kg_min_dd,flujos_maximos_kg_min_ti,flujos_maximos_kg_min_td,producciones_kg_di,producciones_kg_dd,producciones_kg_ti,producciones_kg_td,health_anomaly_score,health_anomaly_label
0.0,0.0,0.0,0.0,4.7,4.65,4.65,4.82,1.32,1.86,1.56,1.74,1.98,2.46,2.1,2.28,6.49,5.42,4.01,8.27,0.7370640534004437,1
0.0,0.0,0.0,0.0,4.39,4.64,4.41,4.77,1.2,1.74,1.56,1.8,2.1,2.28,1.98,2.34,3.9,3.43,2.43,4.82,0.6639426907653192,1
0.0,0.0,0.0,0.0,4.71,4.81,4.9,4.94,1.38,1.74,1.98,1.86,2.1,2.22,2.58,2.4,5.31,5.2,3.34,7.18,0.7372847025918625,1
0.0,0.0,0.0,0.0,4.95,4.95,4.91,4.96,1.38,1.8,1.62,1.62,2.28,2.22,2.28,2.1,5.92,4.9,4.48,8.67,0.9177585341965668,1
0.0,0.0,0.0,0.0,4.53,4.7,4.64,4.74,1.32,1.68,1.74,1.74,1.74,2.16,2.22,2.28,4.96,4.32,2.48,6.54,0.49509688940330115,1
0.0,0.0,0.0,0.0,4.62,4.73,4.4,4.81,1.32,1.86,1.86,1.68,2.16,2.58,2.4,2.16,6.74,5.7,4.78,8.25,0.897327983576908,1
0.0,0.0,0.0,0.0,4.57,4.94,4.77,4.89,1.14,1.62,1.74,1.62,1.98,2.04,2.16,1.98,3.79,3.39,2.11,4.67,0.7404773242172487,1
0.0,0.0,0.0,0.0,4.93,5.1,5.03,5.31,1.32,1.62,1.56,1.68,1.92,2.16,2.04,2.1,4.21,3.82,2.56,5.52,0.5919658397318937,1
0.0,0.0,0.0,0.0,4.95,5.06,4.93,5.16,1.32,1.68,1.8,1.74,2.28,2.1,2.34,2.22,3.62,4.36,2.88,6.37,0.9491215556583985,1
0.0,0.0,0.0,0.0,4.74,4.99,4.95,5.02,1.32,1.8,1.74,1.74,1.68,2.28,2.22,2.22,5.15,4.21,3.01,6.16,0.5610482378250918,1
0.0,0.0,0.0,0.0,4.77,4.99,4.77,4.91,1.38,1.62,1.68,1.62,1.86,2.28,2.16,2.1,3.12,2.71,1.94,4.17,0.5379071154984768,1
0.0,0.0,0.0,0.0,4.83,4.84,4.88,4.88,1.32,1.74,1.62,1.74,1.8,2.22,2.1,2.28,4.39,4.03,2.78,5.89,0.44822970137498536,1
0.0,0.0,0.0,0.0,4.6,4.77,4.79,4.73,1.38,1.68,1.68,1.62,1.86,2.22,2.16,2.22,4.22,4.08,2.61,5.59,0.4663997359686201,1
0.0,0.0,0.0,0.0,4.63,4.7,4.63,4.8,1.32,1.74,1.68,1.74,1.86,2.28,2.16,2.22,5.08,4.54,3.08,6.26,0.4570724916120669,1
,,,,,,,,,,,,,,,,,,,,1.4901161193847656e-08,1
0.0,0.0,0.0,0.0,4.63,4.58,4.49,4.66,1.44,1.8,1.68,1.86,2.1,2.46,2.28,2.46,4.89,4.11,3.11,6.08,0.6748462109934228,1
0.0,0.0,0.0,0.0,4.56,4.63,4.81,4.9,1.32,1.68,1.86,1.68,1.92,2.1,2.46,2.22,6.15,6.44,4.13,9.93,0.927039623467053,1
0.0,0.0,0.0,0.0,4.05,4.22,4.34,3.94,1.02,1.32,1.32,1.38,1.44,1.8,1.8,1.8,1.61,1.32,1.03,1.88,0.761211303330277,1
0.0,0.0,0.0,0.0,4.61,4.63,4.56,4.83,1.14,1.56,1.56,1.62,1.56,2.04,2.04,2.16,2.68,2.19,1.38,3.27,0.6171713911957142,1
0.0,0.0,0.0,0.0,5.07,4.78,4.87,4.91,1.44,1.74,2.1,1.92,1.98,2.4,2.64,2.46,6.32,4.82,3.59,7.89,0.7642176869505095,1
0.0,0.0,0.0,0.0,4.62,4.61,4.59,4.74,1.2,1.44,1.44,1.5,1.74,1.86,1.8,1.98,2.47,2.16,1.77,3.24,0.5278626944785894,1
0.0,0.0,0.0,0.0,4.63,4.49,4.37,4.52,1.26,1.38,1.5,1.5,1.8,1.92,2.04,1.98,2.68,2.28,1.7,3.53,0.5103053986366299,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,1.68,0.0,0.0,0.0,2.64,0.0,0.0,0.0,1.05,2.429818063904207,-1
0.0,0.0,0.0,0.0,4.82,4.81,4.85,4.95,1.38,1.8,2.04,1.8,1.98,2.34,2.46,2.34,4.1,5.22,3.12,7.7,0.825013242197242,1
0.0,0.0,0.0,0.0,4.87,4.73,5.06,4.84,1.56,2.1,1.8,2.04,2.04,2.82,2.34,2.64,6.14,5.12,3.63,7.64,1.018889049920271,1
0.0,0.0,0.0,0.0,4.42,4.58,4.41,4.28,1.44,1.62,1.98,1.8,1.92,2.1,2.76,2.46,6.55,6.12,4.52,9.17,0.9513636144914125,1
0.0,0.0,0.0,0.0,4.5,4.59,4.77,4.77,1.26,1.62,1.5,1.74,1.86,2.22,1.86,2.22,1.87,2.21,1.22,3.23,0.677633056064056,1
0.0,0.0,0.0,0.0,4.6,4.59,4.54,4.7,1.44,1.86,1.74,1.98,1.86,2.46,2.4,2.34,4.22,3.7,2.02,5.53,0.6519816067350858,1
0.0,0.0,0.0,0.0,4.55,4.56,4.58,4.67,1.38,1.62,1.62,1.62,1.92,2.52,2.1,1.98,3.35,3.16,2.1,4.54,0.7392603133601185,1
0.0,0.0,0.0,0.0,4.82,4.69,4.86,4.86,1.38,1.86,1.98,1.86,2.04,2.58,2.46,2.46,5.03,4.65,3.03,6.75,0.8125314695867025,1
0.0,0.0,0.0,0.0,4.28,4.38,4.54,4.29,1.32,1.74,1.62,1.86,1.8,2.46,2.1,2.34,3.57,3.31,2.34,4.65,0.7217999620093576,1
0.0,0.0,0.0,0.0,4.96,4.15,4.09,5.43,1.32,1.68,1.62,1.8,1.74,2.16,2.04,2.22,3.49,3.18,2.28,4.73,0.7883134665769053,1
0.0,0.0,0.0,0.0,4.88,4.6,0.0,4.92,1.44,1.92,0.0,1.68,1.92,2.46,0.0,2.1,6.3,5.72,0.0,9.56,1.1700805731523025,1
0.0,0.0,0.0,0.0,4.62,4.61,6.32,4.68,1.44,1.74,2.04,1.62,2.28,2.28,2.58,1.98,6.44,5.35,3.25,8.13,1.1305532237093043,1
0.0,0.0,0.0,0.0,4.36,4.4,5.52,4.47,1.26,1.62,1.38,1.74,1.92,2.22,1.86,2.34,3.77,3.4,0.92,4.85,0.8134092261336173,1
0.0,0.0,0.0,0.0,4.67,4.67,5.58,4.78,1.26,1.68,1.38,1.62,2.1,2.16,1.92,1.98,3.25,3.02,0.98,4.5,0.7795557759875431,1
0.0,0.0,0.0,0.0,4.92,4.88,5.57,5.07,1.32,1.74,1.68,1.74,2.22,2.22,2.34,2.16,3.36,3.21,1.12,4.54,0.6546448421094417,1
0.0,0.0,0.0,0.0,4.83,4.76,5.28,5.03,1.44,1.68,1.68,1.68,2.22,2.22,2.28,2.16,3.46,3.18,1.7,4.57,0.5230772540304354,1
0.0,0.0,0.0,0.0,4.77,4.86,5.32,4.95,1.38,1.68,1.86,1.74,1.92,2.46,2.28,2.16,4.31,3.54,2.03,5.47,0.7143107823272339,1
0.0,0.0,0.0,0.0,4.68,4.61,5.18,4.83,1.38,1.8,1.86,1.56,1.8,2.46,2.34,2.04,5.63,4.61,3.28,8.13,0.7980248686710028,1
0.0,0.0,0.0,0.0,4.33,4.56,3.91,4.49,1.26,1.62,1.62,1.62,1.68,2.22,2.28,2.04,2.93,2.49,1.99,3.5,0.6282768898950533,1
0.0,0.0,0.0,0.0,4.69,4.8,4.67,4.74,1.32,1.68,1.68,1.74,1.74,2.22,2.16,2.28,5.75,4.96,3.15,7.58,0.7200508160944613,1
0.0,0.0,0.0,0.0,4.61,4.61,4.47,4.73,1.32,1.68,1.62,1.68,1.98,2.16,2.28,2.22,4.14,3.61,2.35,5.63,0.5879547671178271,1
0.0,0.0,0.0,0.0,4.75,4.57,4.4,4.77,1.32,1.74,1.62,1.8,1.74,2.34,2.16,2.22,4.34,3.74,2.5,5.42,0.572353747206652,1
0.0,0.0,0.0,0.0,4.97,4.8,0.0,5.04,1.2,1.8,0.0,1.62,1.86,2.46,0.0,2.04,5.86,5.21,0.0,7.71,0.8164907778830163,1
0.0,0.0,0.0,0.0,4.58,4.57,5.43,4.78,1.44,1.68,1.98,1.92,1.98,2.34,2.58,2.46,3.94,3.57,3.17,4.99,0.9233352845029348,1
0.0,0.0,0.0,0.0,4.4,4.39,4.45,4.44,1.32,1.62,1.44,1.8,1.86,2.16,1.92,2.28,3.62,3.7,1.05,5.24,0.7446985680825245,1
0.0,0.0,0.0,0.0,4.72,4.61,0.0,4.81,1.38,1.8,0.0,1.62,1.86,2.58,0.0,2.04,6.08,5.46,0.0,7.84,0.8393404055989014,1
0.0,0.0,0.0,0.0,4.44,4.43,5.74,4.68,1.26,1.68,1.92,1.74,1.62,2.22,2.4,2.28,3.22,2.84,2.86,3.92,0.9796803666818196,1
0.0,0.0,0.0,0.0,4.63,4.64,4.81,4.82,1.14,1.62,1.44,1.74,1.5,2.16,1.86,2.22,3.41,3.09,1.53,4.45,0.6176388741808891,1
0.0,0.0,0.0,0.0,4.89,4.72,0.0,4.95,1.26,1.68,0.0,1.74,1.62,2.22,0.0,2.22,4.38,4.01,0.0,5.68,0.8579318164220266,1
0.0,0.0,0.0,0.0,4.36,4.53,5.29,4.5,1.02,1.2,1.8,1.44,1.32,1.74,2.34,1.92,1.38,1.21,2.5,1.69,1.0298751435096187,1
0.0,0.0,0.0,0.0,4.96,4.92,5.17,5.06,1.32,1.68,1.74,1.62,1.74,2.16,2.22,2.04,4.39,3.98,2.2,5.85,0.5602914685199971,1
0.0,0.0,0.0,0.0,5.15,4.9,4.9,5.36,1.14,1.8,1.62,1.62,1.56,2.52,2.22,2.04,3.39,3.23,1.8,4.5,0.769465677220117,1
0.0,0.0,0.0,0.0,4.82,4.79,4.96,4.52,1.5,1.62,1.86,1.86,2.16,2.28,2.46,2.34,4.83,5.4,3.17,8.55,0.8167069629748347,1
0.0,0.0,0.0,0.0,4.74,4.65,4.78,4.93,1.26,1.8,1.74,1.8,2.1,2.46,2.1,2.34,3.56,3.36,1.9,4.43,0.6940705343259215,1
0.0,0.0,0.0,0.0,5.01,4.73,4.78,5.17,1.44,1.98,1.74,1.92,2.04,2.64,2.28,2.58,6.09,4.79,3.01,7.05,0.7730632683046867,1
0.0,0.0,0.0,0.0,4.56,4.53,4.41,4.72,1.32,1.38,1.26,1.5,1.74,1.98,1.74,2.04,2.49,2.15,1.43,2.79,0.5249630354776121,1
,,,,,,,,,,,,,,,,,,,,1.4901161193847656e-08,1
0.0,0.0,0.0,0.0,4.82,4.74,4.51,4.9,1.38,1.62,1.44,1.68,1.86,2.28,1.86,2.16,3.65,3.41,2.01,4.67,0.5005624435087558,1
0.0,0.0,0.0,0.0,4.61,4.63,4.66,4.94,1.5,1.74,1.86,1.8,2.1,2.28,2.34,2.22,3.23,3.31,1.72,4.46,0.6477543389113163,1
0.0,0.0,0.0,0.0,4.84,4.62,4.66,4.97,1.5,1.8,1.5,1.74,2.1,2.4,1.98,2.22,6.31,5.35,3.61,7.82,0.6779617744345916,1
0.0,0.0,0.0,0.0,4.49,4.45,4.45,4.63,1.32,1.68,1.32,1.62,1.86,2.4,1.8,2.28,3.27,3.14,1.97,4.28,0.6529064283272479,1
0.0,0.0,0.0,0.0,4.49,4.46,4.28,4.66,1.2,1.38,1.38,1.5,1.68,2.1,1.8,1.92,2.39,2.19,1.46,2.88,0.5632254662724325,1
0.0,0.0,0.0,0.0,4.83,4.7,0.0,4.91,1.44,1.86,0.0,1.74,2.04,2.46,0.0,2.16,4.89,4.44,0.0,6.21,0.6283153893335717,1
0.0,0.0,0.0,0.0,4.54,4.57,4.68,4.77,1.32,1.56,1.92,1.62,1.8,2.04,2.4,2.1,3.34,3.03,3.62,4.19,0.9866320787008798,1
0.0,0.0,0.0,0.0,4.82,4.7,4.59,4.98,1.38,1.74,1.56,1.74,2.22,2.22,2.1,2.22,4.0,3.65,1.81,5.03,0.6213218902976235,1
0.0,0.0,0.0,0.0,4.54,4.56,4.24,4.75,1.5,1.62,1.38,1.74,2.22,2.4,1.8,2.16,3.71,4.31,2.04,6.03,0.9481784331068319,1
0.0,0.0,0.0,0.0,4.53,4.44,4.24,4.67,1.56,1.56,1.56,1.68,2.16,2.16,2.04,2.34,4.1,2.84,1.56,4.17,0.8470197888869876,1
0.0,0.0,0.0,0.0,4.56,4.65,4.59,4.69,1.38,1.44,1.5,1.56,2.22,1.86,1.98,1.98,2.42,2.08,1.21,3.13,0.68739300578544,1
0.0,0.0,0.0,0.0,4.74,4.65,4.69,4.88,1.44,1.8,1.5,1.8,2.04,2.4,2.04,2.46,5.15,4.18,2.6,6.54,0.6493351056181697,1
0.0,0.0,0.0,0.0,4.75,4.64,4.79,4.91,1.14,1.56,1.38,1.68,1.62,2.04,1.92,2.1,2.53,2.36,1.53,3.4,0.5479692635312727,1
0.0,0.0,0.0,0.0,4.82,4.74,4.52,5.09,1.2,1.56,1.56,1.74,1.98,2.16,2.04,2.4,1.94,2.28,1.29,3.15,0.7448481300526547,1
0.0,0.0,0.0,0.0,4.91,4.74,4.86,5.19,1.32,1.44,1.5,1.62,1.86,2.1,2.04,2.1,3.43,2.82,1.79,3.95,0.5210432931242567,1
0.0,0.0,0.0,0.0,4.76,4.81,4.82,5.04,1.32,1.62,1.68,1.68,1.8,2.04,2.22,2.22,4.02,4.37,2.49,6.02,0.5437468542826006,1
0.0,0.0,0.0,0.0,4.63,4.46,4.7,4.77,1.2,1.74,1.56,1.68,1.98,2.22,1.92,2.04,3.2,3.08,1.78,4.32,0.5985805221221706,1
0.0,0.0,0.0,0.0,4.94,4.89,4.82,5.04,1.14,1.38,1.38,1.5,1.56,1.92,1.8,1.92,2.38,2.06,1.5,2.96,0.5277450544816041,1
0.0,0.0,0.0,0.0,5.03,4.82,4.81,5.1,1.26,1.68,1.5,1.62,1.98,2.1,1.86,1.98,3.26,2.89,1.83,4.06,0.5995991563374524,1
0.0,0.0,0.0,0.0,5.04,4.82,4.8,5.04,1.26,1.74,1.5,1.68,1.74,2.28,1.98,2.16,3.37,3.13,1.94,4.37,0.4633820701572581,1
0.0,0.0,0.0,0.0,4.89,4.73,4.62,4.99,1.26,1.74,1.5,1.62,1.92,2.4,1.86,2.16,4.33,3.99,2.41,5.48,0.6432424534723424,1
0.0,0.0,0.0,0.0,4.83,4.58,4.58,4.97,1.26,1.62,1.62,1.74,2.04,2.16,2.04,2.1,2.38,2.78,1.72,3.81,0.6737086161624494,1
0.0,0.0,0.0,0.0,4.81,4.77,4.72,5.06,1.26,1.62,1.56,1.68,1.68,2.1,1.92,2.22,4.48,4.14,2.66,5.76,0.5261824296814549,1
0.0,0.0,0.0,0.0,4.6,4.52,4.53,4.77,1.26,1.68,1.56,1.74,1.74,2.16,2.04,2.28,3.59,3.34,2.06,4.45,0.5207823848065277,1
